District,months,rainfall_in_mm
Arua,Jan,0
Arua,Feb,0.2
Arua,Mar,71.1
Arua,Apr,57.7
Arua,May,146.3
Arua,Jun,113.8
Arua,Jul,197.1
Arua,Aug,125.2
Arua,Sep,171.5
Arua,Oct,240.7
Arua,Nov,147.5
Arua,Dec,7.9
Kitgum,Jan,19
Kitgum,Feb,1.3
Kitgum,Mar,34
Kitgum,Apr,269.7
Kitgum,May,123.9
Kitgum,Jun,121.3
Kitgum,Jul,206.3
Kitgum,Aug,243.4
Kitgum,Sep,176.9
Kitgum,Oct,100.2
Kitgum,Nov,56.1
Kitgum,Dec,9.1
Gulu,Jan,0
Gulu,Feb,4.4
Gulu,Mar,84.2
Gulu,Apr,139.9
Gulu,May,337.7
Gulu,Jun,161.4
Gulu,Jul,120.4
Gulu,Aug,158.8
Gulu,Sep,228.8
Gulu,Oct,224.9
Gulu,Nov,174.2
Gulu,Dec,44.1
Masindi,Jan,4.9
Masindi,Feb,36.3
Masindi,Mar,83.5
Masindi,Apr,89.6
Masindi,May,120
Masindi,Jun,8.3
Masindi,Jul,15.5
Masindi,Aug,192.8
Masindi,Sep,164.6
Masindi,Oct,185.7
Masindi,Nov,122.6
Masindi,Dec,52.8
Kasese,Jan,80.6
Kasese,Feb,21.2
Kasese,Mar,47.6
Kasese,Apr,118.1
Kasese,May,70.4
Kasese,Jun,48.8
Kasese,Jul,54.2
Kasese,Aug,115.4
Kasese,Sep,126.9
Kasese,Oct,99
Kasese,Nov,41.1
Kasese,Dec,95
Kabale,Jan,61.3
Kabale,Feb,66
Kabale,Mar,157.1
Kabale,Apr,74.9
Kabale,May,48
Kabale,Jun,0.2
Kabale,Jul,28
Kabale,Aug,83.1
Kabale,Sep,130.1
Kabale,Oct,82.6
Kabale,Nov,110.4
Kabale,Dec,111.6
Mbarara,Jan,62.6
Mbarara,Feb,106.6
Mbarara,Mar,105
Mbarara,Apr,108.5
Mbarara,May,42.8
Mbarara,Jun,20.2
Mbarara,Jul,12.1
Mbarara,Aug,95.3
Mbarara,Sep,66.7
Mbarara,Oct,117
Mbarara,Nov,109.2
Mbarara,Dec,87.2
Apac,Jan,154.4
Apac,Feb,2.8
Apac,Mar,157.7
Apac,Apr,255.5
Apac,May,179
Apac,Jun,77
Apac,Jul,32.9
Apac,Aug,27.7
Apac,Sep,97.2
Apac,Oct,167.4
Apac,Nov,162.6
Apac,Dec,55.7
Kampala,Jan,60.5
Kampala,Feb,168.1
Kampala,Mar,164.7
Kampala,Apr,167.3
Kampala,May,201.6
Kampala,Jun,111.9
Kampala,Jul,59
Kampala,Aug,85.9
Kampala,Sep,130
Kampala,Oct,225.3
Kampala,Nov,174.1
Kampala,Dec,126.4
Wakiso,Jan,35.9
Wakiso,Feb,108
Wakiso,Mar,98.1
Wakiso,Apr,225
Wakiso,May,212.2
Wakiso,Jun,162.7
Wakiso,Jul,35.3
Wakiso,Aug,65.7
Wakiso,Sep,126.2
Wakiso,Oct,141.7
Wakiso,Nov,89.5
Wakiso,Dec,98.7
Jinja,Jan,154.8
Jinja,Feb,27.4
Jinja,Mar,220.5
Jinja,Apr,333.2
Jinja,May,151.4
Jinja,Jun,46.6
Jinja,Jul,48.9
Jinja,Aug,156.2
Jinja,Sep,119.4
Jinja,Oct,144.8
Jinja,Nov,64.3
Jinja,Dec,161.4
Tororo,Jan,67.1
Tororo,Feb,70.7
Tororo,Mar,113.2
Tororo,Apr,413.1
Tororo,May,153.2
Tororo,Jun,105.1
Tororo,Jul,55.5
Tororo,Aug,115.8
Tororo,Sep,158.9
Tororo,Oct,143.1
Tororo,Nov,60.9
Tororo,Dec,81.4
Soroti,Jan,74
Soroti,Feb,9.9
Soroti,Mar,13.9
Soroti,Apr,146.9
Soroti,May,134.6
Soroti,Jun,41.6
Soroti,Jul,102.5
Soroti,Aug,185.6
Soroti,Sep,166.2
Soroti,Oct,128.1
Soroti,Nov,46.4
Soroti,Dec,10.6
Mubende,Jan,20.6
Mubende,Feb,3.6
Mubende,Mar,163.6
Mubende,Apr,144.2
Mubende,May,58.2
Mubende,Jun,49.2
Mubende,Jul,23.5
Mubende,Aug,54.4
Mubende,Sep,96.5
Mubende,Oct,208.8
Mubende,Nov,163.1
Mubende,Dec,42.3
Lira,Jan,5
Lira,Feb,14.4
Lira,Mar,75.5
Lira,Apr,143.5
Lira,May,112.5
Lira,Jun,156.2
Lira,Jul,86
Lira,Aug,95.8
Lira,Sep,167.7
Lira,Oct,127.7
Lira,Nov,37
Lira,Dec,3.4
Rakai,Jan,28.9
Rakai,Feb,70.6
Rakai,Mar,133.4
Rakai,Apr,338.7
Rakai,May,176.2
Rakai,Jun,8.3
Rakai,Jul,5.3
Rakai,Aug,10.2
Rakai,Sep,112.4
Rakai,Oct,116.8
Rakai,Nov,90.6
Rakai,Dec,111.3
Serere,Jan,52.8
Serere,Feb,5.9
Serere,Mar,42.1
Serere,Apr,183.6
Serere,May,119.3
Serere,Jun,73.8
Serere,Jul,91.3
Serere,Aug,166.4
Serere,Sep,215.5
Serere,Oct,109.8
Serere,Nov,51.9
